url,nombre,descripcion,marca,anio,genero,accords,top_notes,middle_notes,base_notes,genero_cod,accords_list,top_notes_list,middle_notes_list,base_notes_list,accords_weighted,perfil_texto,cluster,day,night,hot_weather,cold_weather,office,gym,school,date,party,is_day,is_night,is_hot,is_cold,is_office,is_gym,is_school,is_date,is_party,best_time,weather,occasion,precio_min,precio_max,precio_promedio,nivel_precio,rank_marca,score_popularidad,rating_estimado
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,Khamrah,"Khamrah by Lattafa Perfumes is a Oriental Spicy fragrance for women and men. Khamrah was launched in 2022. Top notes are Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood.",Lattafa Perfumes,2022.0,women and men,sweet | warm spicy | vanilla | amber | cinnamon | woody | fresh spicy | fruity,"Cinnamon, Nutmeg and Bergamot","Dates, Praline, Tuberose and Mahonial","Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood",2,"['sweet', 'warm spicy', 'vanilla', 'amber', 'cinnamon', 'woody', 'fresh spicy', 'fruity']","['cinnamon', 'nutmeg and bergamot']","['dates', 'praline', 'tuberose and mahonial']","['vanilla', 'tonka bean', 'amberwood', 'myrrh', 'benzoin and akigalawood']",sweet sweet sweet sweet warm spicy warm spicy warm spicy vanilla vanilla amber cinnamon woody fresh spicy fruity,"Lattafa Perfumes women and men Khamrah by Lattafa Perfumes is a Oriental Spicy fragrance for women and men. Khamrah was launched in 2022. Top notes are Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood. sweet sweet sweet sweet warm spicy warm spicy warm spicy vanilla vanilla amber cinnamon woody fresh spicy fruity cinnamon nutmeg and bergamot dates praline tuberose and mahonial vanilla tonka bean amberwood myrrh benzoin and akigalawood",2,0,3,0,3,0,0,0,2,2,False,True,False,True,False,False,False,True,True,night,cold,"date, party",300,1200,750.0,económico,1,1.0,4.9
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html,Khamrah Qahwa,"Khamrah Qahwa by Lattafa Perfumes is a Oriental Vanilla fragrance for women and men. Khamrah Qahwa was launched in 2023. Top notes are Cinnamon, Cardamom and Ginger; middle notes are Praline, Candied Fruits and White Flowers; base notes are Vanilla, Coffee, Tonka Bean, Benzoin and Musk.",Lattafa Perfumes,2023.0,women and men,warm spicy | sweet | vanilla | cinnamon | coffee | amber | powdery,"Cinnamon, Cardamom and Ginger","Praline, Candied Fruits and White Flowers","Vanilla, Coffee, Tonka Bean, Benzoin and Musk",2,"['warm spicy', 'sweet', 'vanilla', 'cinnamon', 'coffee', 'amber', 'powdery']","['cinnamon', 'cardamom and ginger']","['praline', 'candied fruits and white flowers']","['vanilla', 'coffee', 'tonka bean', 'benzoin and musk']",warm spicy warm spicy warm spicy warm spicy sweet sweet sweet vanilla vanilla cinnamon coffee amber powdery,"Lattafa Perfumes women and men Khamrah Qahwa by Lattafa Perfumes is a Oriental Vanilla fragrance for women and men. Khamrah Qahwa was launched in 2023. Top notes are Cinnamon, Cardamom and Ginger; middle notes are Praline, Candied Fruits and White Flowers; base notes are Vanilla, Coffee, Tonka Bean, Benzoin and Musk. warm spicy warm spicy warm spicy warm spicy sweet sweet sweet vanilla vanilla cinnamon coffee amber powdery cinnamon cardamom and ginger praline candied fruits and white flowers vanilla coffee tonka bean benzoin and musk",2,0,1,0,1,1,0,0,1,0,False,True,False,True,True,False,False,True,False,night,cold,"office, date",300,1200,750.0,económico,2,0.958,4.89
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Eclaire-93628.html,Eclaire,"Eclaire by Lattafa Perfumes is a Floral Fruity Gourmand fragrance for women. Eclaire was launched in 2024. Top notes are Caramel, Milk and Sugar; middle notes are Honey and White Flowers; base notes are Vanilla, Praline and Musk.",Lattafa Perfumes,2024.0,women,sweet | vanilla | caramel | lactonic | honey | powdery,"Caramel, Milk and Sugar",Honey and White Flowers,"Vanilla, Praline and Musk",1,"['sweet', 'vanilla', 'caramel', 'lactonic', 'honey', 'powdery']","['caramel', 'milk and sugar']",['honey and white flowers'],"['vanilla', 'praline and musk']",sweet sweet sweet sweet vanilla vanilla vanilla caramel caramel lactonic honey powdery,"Lattafa Perfumes women Eclaire by Lattafa Perfumes is a Floral Fruity Gourmand fragrance for women. Eclaire was launched in 2024. Top notes are Caramel, Milk and Sugar; middle notes are Honey and White Flowers; base notes are Vanilla, Praline and Musk. sweet sweet sweet sweet vanilla vanilla vanilla caramel caramel lactonic honey powdery caramel milk and sugar honey and white flowers vanilla praline and musk",1,0,1,0,1,1,0,1,2,0,False,True,False,True,True,False,True,True,False,night,cold,"office, school, date",300,1200,750.0,económico,3,0.917,4.86
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,Asad,"Asad by Lattafa Perfumes is a Oriental fragrance for men. Asad was launched in 2021. Top notes are Black Pepper, Tobacco and Pineapple; middle notes are Patchouli, Coffee and Iris; base notes are Vanilla, Amber, Dry Wood, Benzoin and Labdanum.",Lattafa Perfumes,2021.0,men,amber | fresh spicy | woody | warm spicy | vanilla | sweet | tobacco | powdery | patchouli | balsamic,"Black Pepper, Tobacco and Pineapple","Patchouli, Coffee and Iris","Vanilla, Amber, Dry Wood, Benzoin and Labdanum",0,"['amber', 'fresh spicy', 'woody', 'warm spicy', 'vanilla', 'sweet', 'tobacco', 'powdery', 'patchouli', 'balsamic']","['black pepper', 'tobacco and pineapple']","['patchouli', 'coffee and iris']","['vanilla', 'amber', 'dry wood', 'benzoin and labdanum']",amber amber amber amber fresh spicy fresh spicy fresh spicy woody woody warm spicy vanilla sweet tobacco powdery patchouli balsamic,"Lattafa Perfumes men Asad by Lattafa Perfumes is a Oriental fragrance for men. Asad was launched in 2021. Top notes are Black Pepper, Tobacco and Pineapple; middle notes are Patchouli, Coffee and Iris; base notes are Vanilla, Amber, Dry Wood, Benzoin and Labdanum. amber amber amber amber fresh spicy fresh spicy fresh spicy woody woody warm spicy vanilla sweet tobacco powdery patchouli balsamic black pepper tobacco and pineapple patchouli coffee and iris vanilla amber dry wood benzoin and labdanum",2,0,2,0,2,0,0,0,2,1,False,True,False,True,False,False,False,True,True,night,cold,"date, party",300,1200,750.0,económico,4,0.875,4.83
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,Yara,"Yara by Lattafa Perfumes is a Oriental Vanilla fragrance for women. Yara was launched in 2020. Top notes are Orchid, Heliotrope and Tangerine; middle notes are Gourmand Accord and Tropical Fruits; base notes are Vanilla, Musk and Sandalwood.",Lattafa Perfumes,2020.0,women,sweet | vanilla | powdery | tropical | fruity | musky | floral | citrus,"Orchid, Heliotrope and Tangerine",Gourmand Accord and Tropical Fruits,"Vanilla, Musk and Sandalwood",1,"['sweet', 'vanilla', 'powdery', 'tropical', 'fruity', 'musky', 'floral', 'citrus']","['orchid', 'heliotrope and tangerine']",['gourmand accord and tropical fruits'],"['vanilla', 'musk and sandalwood']",sweet sweet sweet sweet vanilla vanilla vanilla powdery powdery tropical fruity musky floral citrus,"Lattafa Perfumes women Yara by Lattafa Perfumes is a Oriental Vanilla fragrance for women. Yara was launched in 2020. Top notes are Orchid, Heliotrope and Tangerine; middle notes are Gourmand Accord and Tropical Fruits; base notes are Vanilla, Musk and Sandalwood. sweet sweet sweet sweet vanilla vanilla vanilla powdery powdery tropical fruity musky floral citrus orchid heliotrope and tangerine gourmand accord and tropical fruits vanilla musk and sandalwood",1,0,1,0,1,1,0,0,1,0,False,True,False,True,True,False,False,True,False,night,cold,"office, date",300,1200,750.0,económico,5,0.833,4.8
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Bourbon-101124.html,Asad Bourbon,"Asad Bourbon by Lattafa Perfumes is a Oriental Spicy fragrance for men. This is a new fragrance. Asad Bourbon was launched in 2025. Top notes are Lavender, Mirabelle and Pink Pepper; middle notes are Cacao, Nutmeg and Davana; base notes are Bourbon Vanilla, Amber and Vetiver.",Lattafa Perfumes,2025.0,men,vanilla | cacao | sweet | lavender | fresh spicy | amber | warm spicy | aromatic | powdery | soft spicy,"Lavender, Mirabelle and Pink Pepper","Cacao, Nutmeg and Davana","Bourbon Vanilla, Amber and Vetiver",0,"['vanilla', 'cacao', 'sweet', 'lavender', 'fresh spicy', 'amber', 'warm spicy', 'aromatic', 'powdery', 'soft spicy']","['lavender', 'mirabelle and pink pepper']","['cacao', 'nutmeg and davana']","['bourbon vanilla', 'amber and vetiver']",vanilla vanilla vanilla vanilla cacao cacao cacao sweet sweet lavender fresh spicy amber warm spicy aromatic powdery soft spicy,"Lattafa Perfumes men Asad Bourbon by Lattafa Perfumes is a Oriental Spicy fragrance for men. This is a new fragrance. Asad Bourbon was launched in 2025. Top notes are Lavender, Mirabelle and Pink Pepper; middle notes are Cacao, Nutmeg and Davana; base notes are Bourbon Vanilla, Amber and Vetiver. vanilla vanilla vanilla vanilla cacao cacao cacao sweet sweet lavender fresh spicy amber warm spicy aromatic powdery soft spicy lavender mirabelle and pink pepper cacao nutmeg and davana bourbon vanilla amber and vetiver",2,0,3,0,3,0,0,0,2,2,False,True,False,True,False,False,False,True,True,night,cold,"date, party",300,1200,750.0,económico,6,0.792,4.76
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Honor-Glory-84302.html,Bade'e Al Oud Honor & Glory,"Bade'e Al Oud Honor & Glory by Lattafa Perfumes is a fragrance for women and men. Bade'e Al Oud Honor & Glory was launched in 2023. Top notes are Pineapple and Creme Brulee; middle notes are Cinnamon, Turmeric, Black Pepper and Benzoin; base notes are Vanilla, Sandalwood, Cashmeran and Moss.",Lattafa Perfumes,2023.0,women and men,sweet | warm spicy | fruity | vanilla | woody | powdery | cinnamon | tropical,Pineapple and Creme Brulee,"Cinnamon, Turmeric, Black Pepper and Benzoin","Vanilla, Sandalwood, Cashmeran and Moss",2,"['sweet', 'warm spicy', 'fruity', 'vanilla', 'woody', 'powdery', 'cinnamon', 'tropical']",['pineapple and creme brulee'],"['cinnamon', 'turmeric', 'black pepper and benzoin']","['vanilla', 'sandalwood', 'cashmeran and moss']",sweet sweet sweet sweet warm spicy warm spicy warm spicy fruity fruity vanilla woody powdery cinnamon tropical,"Lattafa Perfumes women and men Bade'e Al Oud Honor & Glory by Lattafa Perfumes is a fragrance for women and men. Bade'e Al Oud Honor & Glory was launched in 2023. Top notes are Pineapple and Creme Brulee; middle notes are Cinnamon, Turmeric, Black Pepper and Benzoin; base notes are Vanilla, Sandalwood, Cashmeran and Moss. sweet sweet sweet sweet warm spicy warm spicy warm spicy fruity fruity vanilla woody powdery cinnamon tropical pineapple and creme brulee cinnamon turmeric black pepper and benzoin vanilla sandalwood cashmeran and moss",2,0,2,0,2,0,0,0,1,0,False,True,False,True,False,False,False,True,False,night,cold,date,300,1200,750.0,económico,7,0.75,4.71
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Angham-96768.html,Angham,"Angham by Lattafa Perfumes is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Angham was launched in 2024. Top notes are Ginger, Mandarin and Pink Pepper; middle notes are Lavender, Praline, Cacao and Jasmine; base notes are Vanilla, Amber and Musk.",Lattafa Perfumes,2024.0,women and men,vanilla | sweet | lavender | fresh spicy | powdery | amber | citrus | musky | cacao | aromatic,"Ginger, Mandarin and Pink Pepper","Lavender, Praline, Cacao and Jasmine","Vanilla, Amber and Musk",2,"['vanilla', 'sweet', 'lavender', 'fresh spicy', 'powdery', 'amber', 'citrus', 'musky', 'cacao', 'aromatic']","['ginger', 'mandarin and pink pepper']","['lavender', 'praline', 'cacao and jasmine']","['vanilla', 'amber and musk']",vanilla vanilla vanilla vanilla sweet sweet sweet lavender lavender fresh spicy powdery amber citrus musky cacao aromatic,"Lattafa Perfumes women and men Angham by Lattafa Perfumes is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Angham was launched in 2024. Top notes are Ginger, Mandarin and Pink Pepper; middle notes are Lavender, Praline, Cacao and Jasmine; base notes are Vanilla, Amber and Musk. vanilla vanilla vanilla vanilla sweet sweet sweet lavender lavender fresh spicy powdery amber citrus musky cacao aromatic ginger mandarin and pink pepper lavender praline cacao and jasmine vanilla amber and musk",2,0,2,0,2,1,0,0,2,1,False,True,False,True,True,False,False,True,True,night,cold,"office, date, party",300,1200,750.0,económico,8,0.708,4.66
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Teriaq-Intense-99586.html,Teriaq Intense,"Teriaq Intense by Lattafa Perfumes is a Oriental Spicy fragrance for women and men. This is a new fragrance. Teriaq Intense was launched in 2024. The nose behind this fragrance is Quentin Bisch. Top notes are Saffron and Bergamot; middle notes are Plum Liquor and Cinnamon; base notes are Amber, Tonka Bean and Benzoin.",Lattafa Perfumes,2024.0,women and men,amber | warm spicy | fruity | cinnamon | aromatic | vanilla | spice,Saffron and Bergamot,Plum Liquor and Cinnamon,"Amber, Tonka Bean and Benzoin",2,"['amber', 'warm spicy', 'fruity', 'cinnamon', 'aromatic', 'vanilla', 'spice']",['saffron and bergamot'],['plum liquor and cinnamon'],"['amber', 'tonka bean and benzoin']",amber amber amber amber warm spicy warm spicy warm spicy fruity fruity cinnamon aromatic vanilla spice,"Lattafa Perfumes women and men Teriaq Intense by Lattafa Perfumes is a Oriental Spicy fragrance for women and men. This is a new fragrance. Teriaq Intense was launched in 2024. The nose behind this fragrance is Quentin Bisch. Top notes are Saffron and Bergamot; middle notes are Plum Liquor and Cinnamon; base notes are Amber, Tonka Bean and Benzoin. amber amber amber amber warm spicy warm spicy warm spicy fruity fruity cinnamon aromatic vanilla spice saffron and bergamot plum liquor and cinnamon amber tonka bean and benzoin",2,0,2,0,2,0,0,0,1,2,False,True,False,True,False,False,False,True,True,night,cold,"date, party",300,1200,750.0,económico,9,0.667,4.61
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Black-70465.html,Fakhar Black,"Fakhar Black by Lattafa Perfumes is a Oriental fragrance for men. Fakhar Black was launched in 2022. Top notes are Apple, Bergamot and Ginger; middle notes are Lavender, Sage, Juniper Berries and Geranium; base notes are Tonka Bean, Cedar, Amberwood and Vetiver.",Lattafa Perfumes,2022.0,men,aromatic | fresh spicy | woody | fruity | fresh | citrus | lavender | green | amber | herbal,"Apple, Bergamot and Ginger","Lavender, Sage, Juniper Berries and Geranium","Tonka Bean, Cedar, Amberwood and Vetiver",0,"['aromatic', 'fresh spicy', 'woody', 'fruity', 'fresh', 'citrus', 'lavender', 'green', 'amber', 'herbal']","['apple', 'bergamot and ginger']","['lavender', 'sage', 'juniper berries and geranium']","['tonka bean', 'cedar', 'amberwood and vetiver']",aromatic aromatic aromatic aromatic fresh spicy fresh spicy fresh spicy woody woody fruity fresh citrus lavender green amber herbal,"Lattafa Perfumes men Fakhar Black by Lattafa Perfumes is a Oriental fragrance for men. Fakhar Black was launched in 2022. Top notes are Apple, Bergamot and Ginger; middle notes are Lavender, Sage, Juniper Berries and Geranium; base notes are Tonka Bean, Cedar, Amberwood and Vetiver. aromatic aromatic aromatic aromatic fresh spicy fresh spicy fresh spicy woody woody fruity fresh citrus lavender green amber herbal apple bergamot and ginger lavender sage juniper berries and geranium tonka bean cedar amberwood and vetiver",2,0,1,0,1,0,0,0,1,1,False,True,False,True,False,False,False,True,True,night,cold,"date, party",300,1200,750.0,económico,10,0.625,4.56
